x,y
1.0,3.4989350173562475
1.1,3.7462025495536224
1.2000000000000002,4.013467238567688
1.3000000000000003,3.970237161072067
1.4000000000000004,4.268037223947949
1.5000000000000004,4.2890185395754346
1.6000000000000005,4.765265809146474
1.7000000000000006,4.449722596107453
1.8000000000000007,5.130623451476783
1.9000000000000008,4.8620473096593795
2.000000000000001,4.964149418084303
2.100000000000001,5.205440510957153
2.200000000000001,5.413208986255794
2.300000000000001,5.28494313835101
2.4000000000000012,5.447994057184555
2.5000000000000013,6.14128703711792
2.6000000000000014,5.6366740741946515
2.7000000000000015,5.923896067062592
2.8000000000000016,5.887824728862698
2.9000000000000017,6.371937879853624
3.0000000000000018,6.085611892031546
3.100000000000002,6.609898677617079
3.200000000000002,6.7982661782902625
3.300000000000002,6.534926922091443
3.400000000000002,7.31713138793617
3.500000000000002,7.637636835329779
3.6000000000000023,7.863721377468188
3.7000000000000024,7.914482025468093
3.8000000000000025,8.007882494174995
3.9000000000000026,8.096530868047973
4.000000000000003,8.051930151346411
4.100000000000003,7.938800723892892
4.200000000000003,8.220952863351235
4.3000000000000025,8.493378806763003
4.400000000000003,8.881650125013314
4.5000000000000036,8.407570806850089
4.600000000000003,8.453932194081805
4.700000000000003,8.726014295301354
4.800000000000003,9.609466139103047
4.900000000000004,9.211648858228052
